Date,Parent_ASIN,Child_ASIN,Title,SKU,Sessions_Total,Sessions_Total_B2B,Session_Percentage_Total,Session_Percentage_Total_B2B,Page_Views_Total,Page_Views_Total_B2B,Page_Views_Percentage_Total,Page_Views_Percentage_Total_B2B,Featured_Offer_Buy_Box_Percentage,Featured_Offer_Buy_Box_Percentage_B2B,Units_Ordered,Units_Ordered_B2B,Unit_Session_Percentage,Unit_Session_Percentage_B2B,Ordered_Product_Sales,Ordered_Product_Sales_B2B,Total_Order_Items,Total_Order_Items_B2B
2022-05-14,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,3,0,0.0012,0.0,7,0,0.0021,0.0,1.0,0.0,1,0,0.3333,0.0,19.0,0.0,1,0
2022-05-25,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,3,0,0.0006,0.0,5,0,0.0008,0.0,1.0,0.0,1,0,0.3333,0.0,19.0,0.0,1,0
2022-05-26,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,5,0,0.0007000000000000001,0.0,7,0,0.0008,0.0,1.0,0.0,1,0,0.2,0.0,19.0,0.0,1,0
2022-05-28,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,3,0,0.0005,0.0,5,0,0.0006,0.0,1.0,0.0,2,0,0.66670000000000007,0.0,38.0,0.0,2,0
2022-05-29,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,8,0,0.0014000000000000002,0.0,12,0,0.0016,0.0,0.83329999999999993,0.0,1,0,0.125,0.0,19.0,0.0,1,0
2022-05-30,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,18,0,0.0029,0.0,25,0,0.0029,0.0,0.96,0.0,3,0,0.16670000000000001,0.0,57.0,0.0,3,0
2022-05-31,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,154,0,0.028399999999999998,0.0,174,0,0.0241,0.0,0.99430000000000007,0.0,29,0,0.1883,0.0,0.0,0.0,29,0
2022-06-01,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,32,0,0.0053,0.0,38,0,0.0048,0.0,1.0,0.0,3,0,0.093800000000000008,0.0,57.0,0.0,3,0
2022-06-02,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,27,0,0.0069999999999999993,0.0,33,0,0.0064,0.0,0.9394,0.0,1,0,0.037000000000000005,0.0,19.0,0.0,1,0
2022-06-03,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,27,0,0.0056000000000000008,0.0,36,0,0.0056000000000000008,0.0,1.0,0.0,3,0,0.11109999999999999,0.0,57.0,0.0,3,0
2022-06-04,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,29,0,0.0039000000000000003,0.0,40,0,0.004,0.0,0.925,0.0,3,0,0.10339999999999999,0.0,57.0,0.0,3,0
2022-06-05,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,23,0,0.0027,0.0,34,0,0.003,0.0,1.0,0.0,4,0,0.1739,0.0,76.0,0.0,4,0
2022-06-06,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,36,0,0.0055000000000000005,0.0,55,0,0.0064,0.0,1.0,0.0,5,0,0.1389,0.0,95.0,0.0,5,0
2022-06-07,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,28,0,0.0046999999999999993,0.0,32,0,0.004,0.0,0.9688,0.0,3,0,0.10710000000000001,0.0,57.0,0.0,3,0
2022-06-08,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,29,0,0.0067,0.0,39,0,0.0063,0.0,1.0,0.0,3,0,0.10339999999999999,0.0,57.0,0.0,3,0
2022-06-09,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,37,0,0.0141,0.0,58,0,0.0149,0.0,1.0,0.0,1,0,0.027000000000000003,0.0,19.0,0.0,1,0
2022-06-11,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,45,0,0.0425,0.0,72,0,0.051399999999999994,0.0,0.95829999999999993,0.0,5,0,0.11109999999999999,0.0,95.0,0.0,4,0
2022-06-12,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,42,0,0.034,0.0,59,0,0.0351,0.0,1.0,0.0,2,0,0.047599999999999996,0.0,38.0,0.0,2,0
2022-06-13,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,28,0,0.0151,0.0,39,0,0.0163,0.0,0.97439999999999993,0.0,4,0,0.1429,0.0,76.0,0.0,4,0
2022-06-14,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,68,0,0.0259,0.0,95,0,0.0279,0.0,0.9684,0.0,4,0,0.0588,0.0,76.0,0.0,4,0
2022-06-15,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,62,0,0.0173,0.0,84,0,0.0171,0.0,1.0,0.0,8,0,0.129,0.0,152.0,0.0,8,0
2022-06-16,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,68,0,0.0166,0.0,103,0,0.018000000000000002,0.0,1.0,0.0,8,0,0.1176,0.0,152.0,0.0,8,0
2022-06-17,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,64,0,0.015700000000000002,0.0,86,0,0.0151,0.0,0.98840000000000006,0.0,6,1,0.093800000000000008,0.0,114.0,19.0,5,1
2022-06-18,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,83,0,0.0146,0.0,115,0,0.0143,0.0,0.9826,0.0,6,0,0.0723,0.0,114.0,0.0,6,0
2022-06-19,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,68,0,0.0079,0.0,90,0,0.0078000000000000005,0.0,1.0,0.0,4,0,0.0588,0.0,76.0,0.0,4,0
2022-06-20,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,51,0,0.0081000000000000013,0.0,67,0,0.0079,0.0,0.92540000000000011,0.0,9,0,0.1765,0.0,171.0,0.0,9,0
2022-06-21,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,55,0,0.0092,0.0,79,0,0.0098,0.0,0.9747,0.0,4,0,0.0727,0.0,76.0,0.0,4,0
2022-06-21,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,55,0,0.0092,0.0,79,0,0.0098,0.0,0.9747,0.0,2,1,0.0364,0.0,38.0,19.0,2,1
2022-06-22,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,41,0,0.0070999999999999995,0.0,64,0,0.008199999999999999,0.0,1.0,0.0,2,0,0.048799999999999996,0.0,38.0,0.0,2,0
2022-06-22,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,41,0,0.0070999999999999995,0.0,64,0,0.008199999999999999,0.0,1.0,0.0,2,0,0.048799999999999996,0.0,38.0,0.0,2,0
2022-06-23,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,61,0,0.0092,0.0,86,0,0.0095,0.0,0.9767,0.0,3,0,0.0492,0.0,76.0,0.0,4,0
2022-06-23,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,61,0,0.0092,0.0,86,0,0.0095,0.0,0.9767,0.0,2,0,0.032799999999999996,0.0,38.0,0.0,2,0
2022-06-24,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,78,0,0.0111,0.0,121,0,0.0129,0.0,0.9339,0.0,1,0,0.0128,0.0,19.0,0.0,1,0
2022-06-25,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,65,0,0.0066,0.0,100,0,0.0075,0.0,1.0,0.0,4,0,0.061500000000000006,0.0,76.0,0.0,4,0
2022-06-26,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,62,0,0.0062,0.0,80,0,0.0059,0.0,0.95,0.0,3,0,0.0484,0.0,57.0,0.0,3,0
2022-06-26,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,62,0,0.0062,0.0,80,0,0.0059,0.0,0.95,0.0,3,0,0.0484,0.0,57.0,0.0,3,0
2022-06-27,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,56,0,0.0055000000000000005,0.0,80,0,0.0058,0.0,0.9625,0.0,5,0,0.08929999999999999,0.0,95.0,0.0,4,0
2022-06-28,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,73,0,0.0079,0.0,96,0,0.0079,0.0,1.0,0.0,5,0,0.068499999999999991,0.0,95.0,0.0,4,0
2022-06-28,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,73,0,0.0079,0.0,96,0,0.0079,0.0,1.0,0.0,3,0,0.041100000000000005,0.0,57.0,0.0,2,0
2022-06-29,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,102,0,0.011699999999999999,0.0,141,0,0.0118,0.0,0.9787,0.0,5,0,0.049,0.0,95.0,0.0,5,0
2022-06-29,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,102,0,0.011699999999999999,0.0,141,0,0.0118,0.0,0.9787,0.0,2,0,0.0196,0.0,38.0,0.0,2,0
2022-06-30,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,85,0,0.0125,0.0,119,0,0.0128,0.0,0.99159999999999993,0.0,5,0,0.0588,0.0,95.0,0.0,5,0
2022-06-30,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,85,0,0.0125,0.0,119,0,0.0128,0.0,0.99159999999999993,0.0,4,0,0.0471,0.0,76.0,0.0,3,0
2022-07-01,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,72,0,0.0113,0.0,110,0,0.012199999999999999,0.0,0.98180000000000012,0.0,6,0,0.0833,0.0,114.0,0.0,6,0
2022-07-01,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,72,0,0.0113,0.0,110,0,0.012199999999999999,0.0,0.98180000000000012,0.0,4,0,0.0556,0.0,76.0,0.0,4,0
2022-07-02,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,85,0,0.0113,0.0,121,0,0.011699999999999999,0.0,0.9669,0.0,3,0,0.0353,0.0,57.0,0.0,3,0
2022-07-02,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,85,0,0.0113,0.0,121,0,0.011699999999999999,0.0,0.9669,0.0,3,0,0.0353,0.0,57.0,0.0,3,0
2022-07-03,B0B5PLBR3Z,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,99,0,0.0123,0.0,155,0,0.0137,0.0,0.9484,0.0,3,0,0.030299999999999997,0.0,57.0,0.0,3,0
2022-07-03,B0B5PLBR3Z,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,99,0,0.0123,0.0,155,0,0.0137,0.0,0.9484,0.0,2,0,0.0202,0.0,38.0,0.0,2,0
2022-07-04,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,93,0,0.0127,0.0,130,0,0.0128,0.0,0.98459999999999992,0.0,3,0,0.0323,0.0,57.0,0.0,3,0
2022-07-04,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,93,0,0.0127,0.0,130,0,0.0128,0.0,0.98459999999999992,0.0,3,0,0.0323,0.0,57.0,0.0,3,0
2022-07-05,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,88,0,0.0132,0.0,116,0,0.013000000000000001,0.0,0.9741,0.0,3,0,0.0341,0.0,57.0,0.0,3,0
2022-07-05,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,88,0,0.0132,0.0,116,0,0.013000000000000001,0.0,0.9741,0.0,1,0,0.011399999999999999,0.0,19.0,0.0,1,0
2022-07-06,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,63,0,0.0087,0.0,86,0,0.0086,0.0,0.9767,0.0,4,0,0.0635,0.0,76.0,0.0,4,0
2022-07-07,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,74,0,0.0083,0.0,97,0,0.008,0.0,0.9484999999999999,0.0,4,0,0.0541,0.0,76.0,0.0,4,0
2022-07-08,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,64,0,0.0074,0.0,84,0,0.0070999999999999995,0.0,0.97620000000000007,0.0,8,1,0.125,0.0,152.0,19.0,7,1
2022-07-09,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,81,0,0.0092,0.0,108,0,0.0089,0.0,0.9722,0.0,4,0,0.049400000000000006,0.0,76.0,0.0,4,0
2022-07-10,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,92,0,0.0098,0.0,123,0,0.0095,0.0,0.9837,0.0,5,0,0.054299999999999994,0.0,95.0,0.0,4,0
2022-07-11,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,106,0,0.013000000000000001,0.0,141,0,0.0123,0.0,0.9078,0.0,3,0,0.028300000000000002,0.0,38.0,0.0,3,0
2022-07-12,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,163,0,0.0034999999999999996,0.0,233,0,0.0033,0.0,0.9828,0.0,12,0,0.0736,0.0,228.0,0.0,12,0
2022-07-13,B09JDXC8PM,B09JDXC8PM,SKIN1004 Madagascar Centella Air-fit Suncream Plus 1.69 fl. oz (50ml),,168,0,0.0115,0.0,244,0,0.011699999999999999,0.0,0.9672,0.0,11,0,0.0655,0.0,209.0,0.0,11,0
