Date,Parent_ASIN,Child_ASIN,Title,SKU,Sessions_Total,Sessions_Total_B2B,Session_Percentage_Total,Session_Percentage_Total_B2B,Page_Views_Total,Page_Views_Total_B2B,Page_Views_Percentage_Total,Page_Views_Percentage_Total_B2B,Featured_Offer_Buy_Box_Percentage,Featured_Offer_Buy_Box_Percentage_B2B,Units_Ordered,Units_Ordered_B2B,Unit_Session_Percentage,Unit_Session_Percentage_B2B,Ordered_Product_Sales,Ordered_Product_Sales_B2B,Total_Order_Items,Total_Order_Items_B2B
2021-11-19,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,56,0,0.0121,0.0,77,0,0.0127,0.0,0.9351,0.0,3,0,0.0536,0.0,74.88,0.0,3,0
2021-11-20,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,47,0,0.0065000000000000006,0.0,70,0,0.0073,0.0,0.8286,0.0,1,0,0.0213,0.0,24.96,0.0,1,0
2021-11-21,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,58,0,0.008,0.0,68,0,0.0070999999999999995,0.0,0.8382,0.0,1,0,0.0172,0.0,24.96,0.0,1,0
2021-11-22,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,92,0,0.0113,0.0,162,0,0.0128,0.0,0.8951,0.0,13,0,0.1413,0.0,324.48,0.0,12,0
2021-11-23,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,77,0,0.012,0.0,113,0,0.011399999999999999,0.0,0.9027,0.0,7,0,0.0909,0.0,149.76,0.0,7,0
2021-11-24,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,60,0,0.0111,0.0,96,0,0.011699999999999999,0.0,0.625,0.0,3,0,0.05,0.0,0.0,0.0,3,0
2021-11-26,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,81,0,0.004,0.0,101,0,0.003,0.0,0.0,0.0,1,0,0.0123,0.0,24.96,0.0,1,0
2021-12-03,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,46,0,0.0189,0.0,50,0,0.0154,0.0,0.7,0.0,3,0,0.0652,0.0,74.88,0.0,3,0
2021-12-05,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,83,0,0.018000000000000002,0.0,101,0,0.016399999999999998,0.0,0.68319999999999992,0.0,1,0,0.012,0.0,24.96,0.0,1,0
2021-12-08,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,34,0,0.0101,0.0,45,0,0.01,0.0,0.6444,0.0,1,0,0.0294,0.0,24.96,0.0,1,0
2021-12-09,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,38,0,0.0137,0.0,50,0,0.0131,0.0,0.82,0.0,1,0,0.0263,0.0,24.96,0.0,1,0
2021-12-10,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,44,0,0.012,0.0,59,0,0.011899999999999999,0.0,0.9322,0.0,2,0,0.0455,0.0,49.92,0.0,2,0
2021-12-11,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,61,0,0.0181,0.0,70,0,0.0151,0.0,0.75709999999999988,0.0,1,0,0.016399999999999998,0.0,24.96,0.0,1,0
2021-12-12,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,57,0,0.0103,0.0,70,0,0.009300000000000001,0.0,0.7286,0.0,2,0,0.0351,0.0,49.92,0.0,2,0
2021-12-13,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,51,0,0.0093999999999999986,0.0,61,0,0.0079,0.0,0.9016,0.0,3,0,0.0588,0.0,74.88,0.0,2,0
2021-12-14,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,34,0,0.0077,0.0,38,0,0.0063,0.0,0.89469999999999994,0.0,1,0,0.0294,0.0,24.96,0.0,1,0
2021-12-15,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,47,0,0.0208,0.0,62,0,0.019299999999999998,0.0,0.871,0.0,5,0,0.10640000000000001,0.0,124.8,0.0,5,0
2021-12-16,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,60,0,0.025699999999999997,0.0,70,0,0.0212,0.0,0.7714,0.0,3,0,0.05,0.0,74.88,0.0,3,0
2021-12-18,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,51,0,0.023700000000000002,0.0,65,0,0.0208,0.0,0.8308,0.0,3,0,0.0588,0.0,74.88,0.0,3,0
2021-12-19,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,49,0,0.0256,0.0,64,0,0.0227,0.0,0.85939999999999994,0.0,1,0,0.0204,0.0,24.96,0.0,1,0
2021-12-20,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,56,0,0.029900000000000003,0.0,73,0,0.0264,0.0,0.93150000000000011,0.0,1,0,0.0179,0.0,24.96,0.0,1,0
2021-12-21,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,39,0,0.0218,0.0,46,0,0.018500000000000003,0.0,0.8478,0.0,1,0,0.0256,0.0,24.96,0.0,1,0
2021-12-23,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,42,0,0.019,0.0,46,0,0.0146,0.0,0.71739999999999993,0.0,2,0,0.047599999999999996,0.0,49.92,0.0,2,0
2021-12-24,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,26,0,0.0093999999999999986,0.0,36,0,0.0095,0.0,0.75,0.0,3,0,0.11539999999999999,0.0,74.88,0.0,3,0
2021-12-25,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,37,0,0.0154,0.0,45,0,0.0132,0.0,0.8222,0.0,2,0,0.0541,0.0,49.92,0.0,2,0
2021-12-26,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,50,0,0.0088,0.0,69,0,0.0088,0.0,0.66670000000000007,0.0,2,0,0.04,0.0,49.92,0.0,2,0
2021-12-27,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,51,0,0.0113,0.0,64,0,0.0105,0.0,0.8125,0.0,2,0,0.0392,0.0,49.92,0.0,2,0
2021-12-28,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,42,0,0.0085,0.0,56,0,0.008,0.0,0.8036,0.0,3,0,0.071399999999999991,0.0,74.88,0.0,3,0
2021-12-29,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,49,0,0.0097,0.0,66,0,0.0092,0.0,0.83329999999999993,0.0,1,0,0.0204,0.0,0.0,0.0,1,0
2021-12-30,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,46,0,0.011200000000000002,0.0,58,0,0.0102,0.0,0.8621,0.0,3,0,0.0652,0.0,74.88,0.0,3,0
2021-12-31,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,40,0,0.0104,0.0,55,0,0.0102,0.0,0.8909,0.0,1,0,0.025,0.0,24.96,0.0,1,0
2022-01-01,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,52,0,0.0046,0.0,68,0,0.0042,0.0,0.8234999999999999,0.0,4,0,0.07690000000000001,0.0,99.84,0.0,4,0
2022-01-03,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,89,0,0.0069999999999999993,0.0,108,0,0.0062,0.0,0.8426,0.0,5,0,0.0562,0.0,124.8,0.0,5,0
2022-01-05,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,83,0,0.0085,0.0,95,0,0.0070999999999999995,0.0,0.7474,0.0,2,0,0.0241,0.0,49.92,0.0,2,0
2022-01-06,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,58,0,0.0064,0.0,66,0,0.0053,0.0,0.7576,0.0,3,0,0.051699999999999996,0.0,74.88,0.0,3,0
2022-01-07,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,71,0,0.006,0.0,91,0,0.0056999999999999993,0.0,0.9451,0.0,4,0,0.056299999999999996,0.0,74.88,0.0,4,0
2022-01-08,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,62,0,0.0038,0.0,81,0,0.0036,0.0,0.963,0.0,1,0,0.0161,0.0,24.96,0.0,1,0
2022-01-09,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,54,0,0.004,0.0,58,0,0.003,0.0,0.93099999999999994,0.0,1,0,0.018500000000000003,0.0,24.96,0.0,1,0
2022-01-10,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,57,0,0.0066,0.0,63,0,0.0053,0.0,0.9206,0.0,3,0,0.0526,0.0,49.92,0.0,3,0
2022-01-11,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,62,0,0.0102,0.0,84,0,0.01,0.0,0.95239999999999991,0.0,6,0,0.0968,0.0,149.76,0.0,6,0
2022-01-12,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,53,0,0.0091,0.0,69,0,0.0086,0.0,0.9565,0.0,1,0,0.0189,0.0,24.96,0.0,1,0
2022-01-13,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,64,0,0.0104,0.0,76,0,0.0088,0.0,0.94739999999999991,0.0,2,0,0.0313,0.0,49.92,0.0,2,0
2022-01-14,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,46,0,0.0074,0.0,54,0,0.0062,0.0,0.9815,0.0,3,0,0.0652,0.0,74.88,0.0,3,0
2022-01-16,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,61,0,0.0066,0.0,77,0,0.0060999999999999995,0.0,1.0,0.0,4,0,0.065599999999999992,0.0,99.84,0.0,4,0
2022-01-17,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,58,0,0.0111,0.0,68,0,0.0095,0.0,0.8970999999999999,0.0,2,0,0.0345,0.0,49.92,0.0,2,0
2022-01-18,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,68,0,0.0123,0.0,84,0,0.011000000000000001,0.0,0.9286,0.0,4,0,0.0588,0.0,99.84,0.0,4,0
2022-01-19,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,150,0,0.041100000000000005,0.0,180,0,0.0362,0.0,0.9111,0.0,6,0,0.04,0.0,149.76,0.0,6,0
2022-01-20,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,143,0,0.028399999999999998,0.0,169,0,0.023399999999999997,0.0,0.9053,0.0,2,0,0.013999999999999999,0.0,49.92,0.0,2,0
2022-01-21,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,114,0,0.0239,0.0,138,0,0.0212,0.0,0.9275,0.0,5,0,0.043899999999999995,0.0,124.8,0.0,5,0
2022-01-22,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,86,0,0.0178,0.0,104,0,0.0152,0.0,0.8173,0.0,8,1,0.093000000000000013,0.0,199.68,24.96,8,1
2022-01-23,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,119,0,0.0297,0.0,148,0,0.026600000000000002,0.0,0.8919,0.0,4,0,0.0336,0.0,99.84,0.0,4,0
2022-01-24,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,105,0,0.024,0.0,145,0,0.023700000000000002,0.0,0.9034,0.0,5,0,0.047599999999999996,0.0,124.8,0.0,5,0
2022-01-25,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,107,0,0.029300000000000003,0.0,135,0,0.026699999999999998,0.0,0.9407,0.0,3,0,0.027999999999999997,0.0,49.92,0.0,3,0
2022-01-26,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,103,0,0.0308,0.0,123,0,0.027200000000000002,0.0,0.7561,0.0,4,0,0.0388,0.0,74.88,0.0,4,0
2022-01-27,B07T5BN3P2,B07T5BN3P2,"SKIN1004 Madagascar Centella Light Cleansing Oil 6.76 fl.oz, 200ml, Pure and Light Oil with Fresh Cleansing Effect, Micellar Cleansing Hypoallergenic Use",,95,0,0.038,0.0,119,0,0.0336,0.0,0.68909999999999993,0.0,5,0,0.0526,0.0,124.8,0.0,5,0
